layer,head,emo_drop,sv_drop,sv_ablated_acc,specificity
0,7,0.05999999999999994,-0.04999999999999999,0.35,0.10999999999999993
0,17,0.039999999999999925,0.0,0.3,0.039999999999999925
0,21,0.039999999999999925,0.04999999999999999,0.25,-0.010000000000000064
0,0,0.029999999999999916,0.0,0.3,0.029999999999999916
0,23,0.029999999999999916,0.04999999999999999,0.25,-0.020000000000000073
0,2,0.020000000000000018,0.0,0.3,0.020000000000000018
0,14,0.020000000000000018,0.0,0.3,0.020000000000000018
0,4,0.020000000000000018,0.0,0.3,0.020000000000000018
0,19,0.020000000000000018,0.0,0.3,0.020000000000000018
0,22,0.020000000000000018,0.04999999999999999,0.25,-0.02999999999999997
